ko	description	Cytoplasmic	CytoplasmicMembrane	Extracellular	OuterMembrane	Periplasmic	Unknown	subcellular location	copy number	fraction of prokaryotes
K11077	attC; mannopine transport system substrate-binding protein	0	0	0	0	0.928571429	0.071428571	non-cytoplasmatic	1	0.00899928
K18376	hrpF; type III secretion translocon protein HrpF	0	0	0.85	0.025	0	0.125	non-cytoplasmatic	1.12	0.00899928
K13740	sptP; secreted effector protein SptP	0	0	1	0	0	0	non-cytoplasmatic	1	0.009359251
K17229	fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]	0	0	0	0	0.830508475	0.169491525	non-cytoplasmatic	1.576923077	0.009359251
K18308	"opmD; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.009359251
K01264	"E3.4.11.15, APE3; aminopeptidase Y [EC:3.4.11.15]"	0	0	1	0	0	0	non-cytoplasmatic	1.321428571	0.010079194
K08604	"hap, nprV; vibriolysin [EC:3.4.24.25]"	0	0	1	0	0	0	non-cytoplasmatic	1.071428571	0.010079194
K14029	"mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"	0	0	0	0	1	0	non-cytoplasmatic	1	0.010079194
K15352	pipB2; secreted effector protein PipB2	0	0	1	0	0	0	non-cytoplasmatic	1	0.010079194
K16956	tcyJ; L-cystine transport system substrate-binding protein	0	0	0	0	0.925	0.075	non-cytoplasmatic	1	0.010079194
K07268	oapA; opacity associated protein	0	0	0.983333333	0	0	0.016666667	non-cytoplasmatic	1	0.010439165
K14028	"mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"	0	0	0	0	1	0	non-cytoplasmatic	1.103448276	0.010439165
K08721	"oprJ; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1	0.010799136
K16255	mxaG; cytochrome c-L	0	0	0	0	0.93877551	0.06122449	non-cytoplasmatic	1.129032258	0.011159107
K00534	E1.12.7.2S; ferredoxin hydrogenase small subunit [EC:1.12.7.2]	0	0	0	0	0.945945946	0.054054054	non-cytoplasmatic	1.15625	0.011519078
K17230	fccA; cytochrome subunit of sulfide dehydrogenase	0	0	0	0	1	0	non-cytoplasmatic	1.15625	0.011519078
K08259	lytM; lysostaphin [EC:3.4.24.75]	0	0	0.84375	0.0625	0	0.09375	non-cytoplasmatic	1.117647059	0.012239021
K18766	blaZ; beta-lactamase class A BlaZ [EC:3.5.2.6]	0	0	0	0	1	0	non-cytoplasmatic	1.117647059	0.012239021
K08566	pla; plasminogen activator [EC:3.4.23.48]	0	0	0	1	0	0	non-cytoplasmatic	1.055555556	0.012958963
K15353	sspH2; E3 ubiquitin-protein ligase SspH2	0.021276596	0	0.957446809	0	0	0.021276596	non-cytoplasmatic	1.027777778	0.012958963
K13381	chiA; bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]	0	0	0	0	0.95	0.05	non-cytoplasmatic	1	0.013318934
K08642	lasA; LasA protease [EC:3.4.24.-]	0	0	0.038461538	0.948717949	0	0.012820513	non-cytoplasmatic	1.026315789	0.013678906
K18650	pehX; exo-poly-alpha-galacturonosidase [EC:3.2.1.82]	0	0	0.952380952	0	0	0.047619048	non-cytoplasmatic	1.078947368	0.013678906
K17760	qheDH; quinohemoprotein ethanol dehydrogenase [EC:1.1.9.1]	0	0	0	0	0.886792453	0.113207547	non-cytoplasmatic	1.358974359	0.014038877
K03285	"TC.GBP; general bacterial porin, GBP family"	0	0	0	1	0	0	non-cytoplasmatic	1	0.014758819
K07354	sfmD; outer membrane usher protein	0	0	0	1	0	0	non-cytoplasmatic	1	0.01511879
K11014	cdtB; cytolethal distending toxin subunit B	0	0	0.819148936	0	0	0.180851064	non-cytoplasmatic	1.142857143	0.01511879
K16191	"K16191, arfA; peptidoglycan-binding protein ArfA"	0	0	0	0.941176471	0	0.058823529	non-cytoplasmatic	1.023809524	0.01511879
K08693	"yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]"	0	0	0	0	0.846153846	0.153846154	non-cytoplasmatic	1.023255814	0.015478762
K11005	hlyA; hemolysin A	0	0	1	0	0	0	non-cytoplasmatic	1.093023256	0.015478762
K15349	sseJ; secreted effector protein SseJ	0.018518519	0	0.962962963	0	0	0.018518519	non-cytoplasmatic	1.023255814	0.015478762
K14197	sbi; immunoglobulin G-binding protein Sbi	0	0	0	0.844827586	0	0.155172414	non-cytoplasmatic	1	0.015838733
K11954	"K11954, natB; neutral amino acid transport system substrate-binding protein"	0	0	0	0	0.803921569	0.196078431	non-cytoplasmatic	1.044444444	0.016198704
K01117	E3.1.4.12; sphingomyelin phosphodiesterase [EC:3.1.4.12]	0	0	1	0	0	0	non-cytoplasmatic	1.130434783	0.016558675
K08258	"sspB2, sspP, scpA; staphopain A [EC:3.4.22.48]"	0	0	0	0.873015873	0	0.126984127	non-cytoplasmatic	1.02173913	0.016558675
K08477	pgtE; outer membrane protease E [EC:3.4.21.-]	0	0	0	0.981132075	0	0.018867925	non-cytoplasmatic	1	0.016558675
K11028	vacA; vacuolating cytotoxin	0	0	0.866666667	0.026666667	0	0.106666667	non-cytoplasmatic	1.630434783	0.016558675
K16152	hasR; heme acquisition protein HasR	0	0	0	1	0	0	non-cytoplasmatic	1.043478261	0.016558675
K15842	cagA; cytotoxicity-associated immunodominant antigen	0	0	1	0	0	0	non-cytoplasmatic	1.063829787	0.016918647
K07355	sfmF; fimbrial-like protein	0	0	0.87755102	0	0	0.12244898	non-cytoplasmatic	1	0.017278618
K08777	nprB; neutral peptidase B [EC:3.4.24.-]	0	0	1	0	0	0	non-cytoplasmatic	1.041666667	0.017278618
K18093	oprD; imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]	0	0	0	1	0	0	non-cytoplasmatic	1.4375	0.017278618
K07353	sfmC; fimbrial chaperone protein	0	0	0	0	0.981132075	0.018867925	non-cytoplasmatic	1	0.017638589
K16199	dppE; dipeptide transport system substrate-binding protein	0	0	0	0	1	0	non-cytoplasmatic	1.020408163	0.017638589
K01355	ompT; omptin [EC:3.4.23.49]	0	0	0	1	0	0	non-cytoplasmatic	1.14	0.01799856
K12687	flu; antigen 43	0	0	0.011764706	0.929411765	0	0.058823529	non-cytoplasmatic	1.588235294	0.018358531
K07352	sfmA; type 1 fimbrial protein	0	0	0.967213115	0	0	0.032786885	non-cytoplasmatic	1	0.018718503
K13284	"sipA, ipaA; invasin A"	0	0	1	0	0	0	non-cytoplasmatic	1	0.018718503
K08598	yopJ; YopJ protease family	0.023529412	0	0.941176471	0	0	0.035294118	non-cytoplasmatic	1.037735849	0.019078474
K16081	algE; alginate production protein	0	0	0	0.989247312	0	0.010752688	non-cytoplasmatic	1.074074074	0.019438445
K01732	E4.2.2.10; pectin lyase [EC:4.2.2.10]	0	0	0.948717949	0	0	0.051282051	non-cytoplasmatic	1.036363636	0.019798416
K11139	"hlyE, clyA, sheA; hemolysin E"	0	0	1	0	0	0	non-cytoplasmatic	1.072727273	0.019798416
K15229	mauB; methylamine dehydrogenase heavy chain [EC:1.4.9.1]	0	0	0	0	0.923076923	0.076923077	non-cytoplasmatic	1.089285714	0.020158387
K15843	"hopC, alpA; outer membrane protein HopC/AlpA"	0	0	0	0.865671642	0	0.134328358	non-cytoplasmatic	1.053571429	0.020158387
K11016	"shlA, hhdA, hpmA; hemolysin"	0	0	0	0.977777778	0	0.022222222	non-cytoplasmatic	1.210526316	0.020518359
K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	0	0	0.991071429	0	0	0.008928571	non-cytoplasmatic	1.293103448	0.02087833
K11017	"shlB, hhdB, hpmB; hemolysin activation/secretion protein"	0	0	0	0.984848485	0	0.015151515	non-cytoplasmatic	1.206896552	0.02087833
K10549	alsB; D-allose transport system substrate-binding protein	0	0	0	0	0.986486486	0.013513514	non-cytoplasmatic	1	0.021958243
K13741	sopE; guanine nucleotide exchange factor SopE	0.008474576	0	0.983050847	0	0	0.008474576	non-cytoplasmatic	1.327868852	0.021958243
K15228	mauA; methylamine dehydrogenase light chain [EC:1.4.9.1]	0	0	0	0	0.965909091	0.034090909	non-cytoplasmatic	1.147540984	0.021958243
K10018	"occT, nocT; octopine/nopaline transport system substrate-binding protein"	0	0	0	0	0.9875	0.0125	non-cytoplasmatic	1.241935484	0.022318215
K02638	petE; plastocyanin	0	0.012820513	0	0	0.897435897	0.08974359	non-cytoplasmatic	1.047619048	0.022678186
K13286	"sipC, ipaC, bipC; invasin C"	0	0	0.59	0	0.37	0.04	non-cytoplasmatic	1	0.023758099
K05994	E3.4.11.10; bacterial leucyl aminopeptidase [EC:3.4.11.10]	0	0	1	0	0	0	non-cytoplasmatic	1.059701493	0.024118071
K11032	hlyII; hemolysin II	0	0	0.585858586	0.101010101	0.181818182	0.131313131	non-cytoplasmatic	1.134328358	0.024118071
K01400	nprE; bacillolysin [EC:3.4.24.28]	0	0	0.984615385	0	0	0.015384615	non-cytoplasmatic	1.434782609	0.024838013
K18919	hokC_D; protein HokC/D	0	0.016877637	0	0	0.873417722	0.109704641	non-cytoplasmatic	3.072463768	0.024838013
K07279	yfaL; autotransporter family porin	0	0	0.060240964	0.831325301	0	0.108433735	non-cytoplasmatic	1.041666667	0.025917927
K15904	kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]	0	0	1	0	0	0	non-cytoplasmatic	1	0.025917927
K18300	"oprN; outer membrane protein, multidrug efflux system"	0	0	0	1	0	0	non-cytoplasmatic	1.013888889	0.025917927
K01238	E3.2.1.-	0	0	1	0	0	0	non-cytoplasmatic	1.878378378	0.026637869
K16140	"uidC, gusC; putative glucuronide porin"	0	0.011764706	0	0.811764706	0	0.176470588	non-cytoplasmatic	1.053333333	0.02699784
K14053	ompG; outer membrane protein G	0	0	0	0.979166667	0	0.020833333	non-cytoplasmatic	1	0.027357811
K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	0	0	0	0	0.960784314	0.039215686	non-cytoplasmatic	1.051948052	0.027717783
K11601	mntC; manganese transport system substrate-binding protein	0	0	0	0	0.891089109	0.108910891	non-cytoplasmatic	1.025316456	0.028437725
K17205	xltC; putative xylitol transport system substrate-binding protein	0	0	0	0	0.993103448	0.006896552	non-cytoplasmatic	1	0.028437725
K08720	ompU; outer membrane protein OmpU	0	0	0	0.986486486	0	0.013513514	non-cytoplasmatic	1.048780488	0.029517639
K15721	fyuA; pesticin/yersiniabactin receptor	0	0	0	1	0	0	non-cytoplasmatic	1.024390244	0.029517639
K11739	nfrA; bacteriophage N4 adsorption protein A	0	0	0	0.972727273	0	0.027272727	non-cytoplasmatic	1.024096386	0.02987761
K13287	"sipD, ipaD, bipD; invasin D"	0	0	0.962406015	0	0	0.037593985	non-cytoplasmatic	1.047058824	0.030597552
K10124	bglH; carbohydrate-specific outer membrane porin	0	0	0	1	0	0	non-cytoplasmatic	1.418604651	0.030957523
K05597	"aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]"	0	0	0	0	0.984615385	0.015384615	non-cytoplasmatic	1.011111111	0.032397408
K13285	"sipB, ipaB, bipB; invasin B"	0	0.04964539	0.936170213	0	0	0.014184397	non-cytoplasmatic	1.033333333	0.032397408
K12538	"hasF, prtF; outer membrane protein, protease secretion system"	0	0	0	0.989583333	0	0.010416667	non-cytoplasmatic	1.32967033	0.032757379
K15550	"mdtP; outer membrane protein, multidrug efflux system"	0	0	0	0.991666667	0	0.008333333	non-cytoplasmatic	1	0.032757379
K16077	scrY; sucrose porin	0	0	0	0.991769547	0	0.008230453	non-cytoplasmatic	1.304347826	0.033117351
K07804	pagC; putatice virulence related protein PagC	0	0	0.007194245	0.992805755	0	0	non-cytoplasmatic	1.191489362	0.033837293
K07326	fhaC; hemolysin activation/secretion protein	0	0.003164557	0.009493671	0.962025316	0.003164557	0.022151899	non-cytoplasmatic	1.54	0.03599712
K08719	"K08719, porB; outer membrane protein B"	0	0	0.009009009	0.810810811	0	0.18018018	non-cytoplasmatic	1	0.036357091
K10552	frcB; fructose transport system substrate-binding protein	0	0	0	0	0.970149254	0.029850746	non-cytoplasmatic	1.03960396	0.036357091
K07796	"cusC, silC; outer membrane protein, Cu(I)/Ag(I) efflux system"	0	0	0	0.971264368	0	0.028735632	non-cytoplasmatic	1.156862745	0.036717063
K10022	aotJ; arginine/ornithine transport system substrate-binding protein	0	0	0	0	0.88185654	0.11814346	non-cytoplasmatic	1.421568627	0.036717063
K03162	ompA; major outer membrane protein	0	0.008849558	0	0.991150442	0	0	non-cytoplasmatic	1	0.037077034
K16076	"nmpC, ompD; outer membrane porin protein LC"	0	0	0	1	0	0	non-cytoplasmatic	1.242718447	0.037077034
K06370	safA; morphogenetic protein associated with SpoVID	0.013333333	0	0	0	0.866666667	0.12	non-cytoplasmatic	1.009615385	0.037437005
K18903	"oprC, opcM; outer membrane protein, multidrug efflux system"	0	0	0	0.989189189	0	0.010810811	non-cytoplasmatic	1.018181818	0.039596832
K10188	"lacE, araN; lactose/L-arabinose transport system substrate-binding protein"	0	0.077844311	0	0	0.814371257	0.107784431	non-cytoplasmatic	1.088495575	0.040676746
K17202	"K17202, eryG; erythritol transport system substrate-binding protein"	0	0	0	0	0.842105263	0.157894737	non-cytoplasmatic	1.156521739	0.041396688
K08348	"fdnG; formate dehydrogenase-N, alpha subunit [EC:1.1.5.6]"	0	0	0	0	1	0	non-cytoplasmatic	1.206896552	0.041756659
K05341	E2.4.1.4; amylosucrase [EC:2.4.1.4]	0	0	0.824675325	0	0	0.175324675	non-cytoplasmatic	1.008403361	0.042836573
K12282	mshL; MSHA biogenesis protein MshL	0	0	0	0.974522293	0	0.025477707	non-cytoplasmatic	1.016528926	0.043556515
K15733	E1.11.1.19; dye decolorizing peroxidase [EC:1.11.1.19]	0	0	0	0	0.829268293	0.170731707	non-cytoplasmatic	1.103174603	0.045356371
K04334	csgA; major curlin subunit	0	0	0.938650307	0	0	0.061349693	non-cytoplasmatic	1	0.046436285
K16961	yxeM; putative amino-acid transport system substrate-binding protein	0	0.013761468	0	0	0.834862385	0.151376147	non-cytoplasmatic	1.117647059	0.048956084
K01387	colA; microbial collagenase [EC:3.4.24.3]	0.002967359	0	0.973293769	0	0.008902077	0.014836795	non-cytoplasmatic	1.712230216	0.050035997
K07348	fimF; minor fimbrial subunit	0	0	0.965	0	0	0.035	non-cytoplasmatic	1.035714286	0.050395968
K16079	omp31; outer membrane immunogenic protein	0.001135074	0.005675369	0	0.887627696	0	0.105561862	non-cytoplasmatic	4.133802817	0.051115911
K00692	sacB; levansucrase [EC:2.4.1.10]	0	0	0.984251969	0	0	0.015748031	non-cytoplasmatic	1.144827586	0.052195824
K07810	cusF; Cu(I)/Ag(I) efflux system periplasmic protein CusF	0	0.063432836	0.003731343	0	0.828358209	0.104477612	non-cytoplasmatic	1.108843537	0.052915767
K17213	K17213; inositol transport system substrate-binding protein	0	0	0	0	0.909638554	0.090361446	non-cytoplasmatic	1.391891892	0.053275738
